source,paperid,doi,file_name,format,parse_status,n_tables,max_table_rows,n_images,n_words_prose,has_observation_table,any_summary_table,n_sheets,max_sheet_rows,n_merged_ranges,multi_table_sheet,content_class
jwh,106290,10.2166/wh.2024.113,jwh0230016supp2.docx,docx,ok,1,20,0,1129,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,106269,10.2166/wh.2024.399,jwh0230043supp1.docx,docx,ok,0,0,0,5155,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,106268,10.2166/wh.2024.314,jwh0230058supp1.docx,docx,ok,0,0,0,5108,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,106965,10.2166/wh.2025.164,jwh0230089supp1.docx,docx,ok,0,0,0,1523,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,106192,10.2166/wh.2024.225,jwh0230100supp1.docx,docx,ok,0,0,0,1832,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,106972,10.2166/wh.2025.380,jwh0230260supp1.docx,docx,ok,1,21,0,1769,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,103645,10.2166/wh.2024.145,jwh0230288supp1.docx,docx,ok,0,0,0,32,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,107444,10.2166/wh.2025.289,jwh0230350supp1.docx,docx,ok,0,0,0,296,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,107290,10.2166/wh.2025.352,jwh0230413supp1.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,107834,10.2166/wh.2025.174,jwh0230439supp1.docx,docx,ok,0,0,0,645,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,107834,10.2166/wh.2025.174,jwh0230439supp2.docx,docx,ok,0,0,0,329,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,107777,10.2166/wh.2025.343,jwh0230615supp1.docx,docx,ok,2,34,0,63,TRUE,TRUE,NA,NA,NA,NA,observation tables
jwh,108133,10.2166/wh.2025.022,jwh0230648supp1.xlsx,xlsx,ok,NA,NA,NA,NA,TRUE,FALSE,1,231,176,TRUE,observation tables
jwh,108156,10.2166/wh.2025.274,jwh0230684supp1.docx,docx,ok,20,23,0,4920,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,108131,10.2166/wh.2025.374,jwh0230727supp1.docx,docx,ok,2,10,0,1677,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,108129,10.2166/wh.2025.020,jwh0230764supp1.docx,docx,ok,1,9,0,2648,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,108179,10.2166/wh.2025.027,jwh0230794supp1.docx,docx,ok,0,0,0,2025,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,108717,10.2166/wh.2025.009,jwh0230894supp1.docx,docx,ok,0,0,0,1094,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,108750,10.2166/wh.2025.041,jwh0230923supp1.docx,docx,ok,1,16,0,178,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,108970,10.2166/wh.2025.059,jwh0230952supp1.docx,docx,ok,1,47,0,245,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,108970,10.2166/wh.2025.059,jwh0230952supp2.xlsx,xlsx,ok,NA,NA,NA,NA,TRUE,TRUE,2,60,0,FALSE,observation tables
jwh,109379,10.2166/wh.2025.346,jwh0230991supp1.xlsx,xlsx,ok,NA,NA,NA,NA,TRUE,FALSE,1,17,0,FALSE,observation tables
jwh,109222,10.2166/wh.2025.082,jwh0231109supp1.docx,docx,ok,1,6,2,2289,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,109782,10.2166/wh.2025.045,jwh0231196supp1.docx,docx,ok,3,8,0,4958,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,109749,10.2166/wh.2025.062,jwh0231224supp1.docx,docx,ok,0,0,0,129,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,109916,10.2166/wh.2025.053,jwh0231341supp1.docx,docx,ok,0,0,0,2649,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,110166,10.2166/wh.2025.077,jwh0231355supp1.docx,docx,ok,3,13,0,479,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,110239,10.2166/wh.2025.036,jwh0231415supp1.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,110185,10.2166/wh.2025.126,jwh0231430supp1.docx,docx,ok,9,20,0,1439,TRUE,TRUE,NA,NA,NA,NA,observation tables
jwh,110660,10.2166/wh.2025.391,jwh0240001supp1.docx,docx,ok,0,0,0,833,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,110610,10.2166/wh.2025.364,jwh0240036supp1.docx,docx,ok,1,4,0,312,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,110650,10.2166/wh.2025.167,jwh0240050supp1.docx,docx,ok,0,0,0,2528,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,110650,10.2166/wh.2025.167,jwh0240050supp2.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,110650,10.2166/wh.2025.167,jwh0240050supp3.docx,docx,ok,0,0,0,1413,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,110668,10.2166/wh.2026.182,jwh0240065supp1.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,110858,10.2166/wh.2026.175,jwh0240160supp1.docx,docx,ok,0,0,0,2116,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,110801,10.2166/wh.2026.176,jwh0240176supp1.docx,docx,ok,2,8,0,2066,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,110802,10.2166/wh.2026.228,jwh0240204supp1.docx,docx,ok,2,13,1,313,FALSE,TRUE,NA,NA,NA,NA,summary tables
