source,doi,das_in_paper_support,openalex_type,title_front_matter,trivially_true
washdev,10.2166/washdev.2023.060,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.089,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.126,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.140,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.143,structured supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2023.268,no supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2023.186,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2023.206,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.064,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.069,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.201,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.265,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.278,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.106,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.180,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.184,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.267,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.294,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.319,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.083,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.153,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.240,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.122,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.185,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.233,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.306,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.318,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.075,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.223,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.010,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.208,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.266,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.295,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.017,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.025,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.062,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.169,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.092,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.192,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.155,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.014,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.019,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.070,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.085,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.117,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.419,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.126,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.182,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.285,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.307,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.313,structured supplement,review,FALSE,TRUE
washdev,10.2166/washdev.2024.038,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.090,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.142,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.174,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.385,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.011,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.066,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.067,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.129,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.179,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.197,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.206,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.156,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.236,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.081,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.095,structured supplement,article,FALSE,FALSE
