paperid,doi
71342,10.2166/washdev.2019.000
69038,10.2166/washdev.2019.197
69478,10.2166/washdev.2019.032
69838,10.2166/washdev.2019.047
70272,10.2166/washdev.2019.055
69014,10.2166/washdev.2019.132
67998,10.2166/washdev.2019.123
69976,10.2166/washdev.2019.140
67976,10.2166/washdev.2019.148
70048,10.2166/washdev.2019.270
69622,10.2166/washdev.2019.185
68965,10.2166/washdev.2019.002
69460,10.2166/washdev.2019.024
70047,10.2166/washdev.2019.049
70882,10.2166/washdev.2019.067
70434,10.2166/washdev.2019.274
70237,10.2166/washdev.2019.091
69758,10.2166/washdev.2019.248
69713,10.2166/washdev.2019.064
69946,10.2166/washdev.2019.059
70215,10.2166/washdev.2019.038
72321,10.2166/washdev.2020.139
71150,10.2166/washdev.2019.077
71338,10.2166/washdev.2019.019
70853,10.2166/washdev.2019.042
71870,10.2166/washdev.2020.033
72030,10.2166/washdev.2020.051
72026,10.2166/washdev.2020.097
71321,10.2166/washdev.2019.107
72308,10.2166/washdev.2020.143
72317,10.2166/washdev.2020.057
70958,10.2166/washdev.2019.070
71315,10.2166/washdev.2019.072
72210,10.2166/washdev.2020.079
72211,10.2166/washdev.2020.087
72131,10.2166/washdev.2020.110
72212,10.2166/washdev.2020.111
71716,10.2166/washdev.2020.092
72307,10.2166/washdev.2020.086
72318,10.2166/washdev.2020.102
72319,10.2166/washdev.2020.103
72320,10.2166/washdev.2020.112
73470,10.2166/washdev.2020.119
72508,10.2166/washdev.2020.120
73747,10.2166/washdev.2020.124
73957,10.2166/washdev.2020.123
74104,10.2166/washdev.2020.132
74524,10.2166/washdev.2020.136
73652,10.2166/washdev.2020.147
73558,10.2166/washdev.2020.156
74480,10.2166/washdev.2020.163
73830,10.2166/washdev.2020.165
74232,10.2166/washdev.2020.001
74015,10.2166/washdev.2020.003
74279,10.2166/washdev.2020.058
74196,10.2166/washdev.2020.014
73829,10.2166/washdev.2020.013
73058,10.2166/washdev.2020.000
75578,10.2166/washdev.2020.218
75339,10.2166/washdev.2020.019
74896,10.2166/washdev.2020.118
75870,10.2166/washdev.2020.045
75724,10.2166/washdev.2020.042
75173,10.2166/washdev.2020.017
75764,10.2166/washdev.2020.041
75387,10.2166/washdev.2020.035
75172,10.2166/washdev.2020.038
75340,10.2166/washdev.2020.056
74755,10.2166/washdev.2020.059
75953,10.2166/washdev.2020.179
76068,10.2166/washdev.2020.081
75442,10.2166/washdev.2020.085
76069,10.2166/washdev.2020.115
76123,10.2166/washdev.2020.088
76081,10.2166/washdev.2020.095
75952,10.2166/washdev.2020.131
74989,10.2166/washdev.2020.146
76083,10.2166/washdev.2020.125
75541,10.2166/washdev.2020.046
78561,10.2166/washdev.2020.002
74531,10.2166/washdev.2020.049
77508,10.2166/washdev.2020.098
77908,10.2166/washdev.2020.093
77472,10.2166/washdev.2020.037
77803,10.2166/washdev.2020.034
75869,10.2166/washdev.2020.076
75542,10.2166/washdev.2020.073
74233,10.2166/washdev.2020.039
77907,10.2166/washdev.2020.066
75834,10.2166/washdev.2020.060
76853,10.2166/washdev.2020.072
76656,10.2166/washdev.2020.062
78122,10.2166/washdev.2020.265
77780,10.2166/washdev.2020.025
76803,10.2166/washdev.2020.232
77804,10.2166/washdev.2020.126
77910,10.2166/washdev.2020.158
77727,10.2166/washdev.2020.145
76516,10.2166/washdev.2020.197
76802,10.2166/washdev.2020.202
76929,10.2166/washdev.2020.104
77726,10.2166/washdev.2020.043
77658,10.2166/washdev.2020.070
77524,10.2166/washdev.2020.084
77557,10.2166/washdev.2020.186
77659,10.2166/washdev.2020.128
77599,10.2166/washdev.2020.239
78139,10.2166/washdev.2020.152
77765,10.2166/washdev.2020.141
77471,10.2166/washdev.2020.023
78146,10.2166/washdev.2020.101
78245,10.2166/washdev.2020.075
78380,10.2166/washdev.2020.159
78302,10.2166/washdev.2020.166
78540,10.2166/washdev.2020.164
78648,10.2166/washdev.2020.193
78800,10.2166/washdev.2020.157
79072,10.2166/washdev.2020.129
78531,10.2166/washdev.2020.173
79073,10.2166/washdev.2020.190
79205,10.2166/washdev.2020.020
79162,10.2166/washdev.2020.096
79187,10.2166/washdev.2020.133
79188,10.2166/washdev.2020.135
79189,10.2166/washdev.2020.279
79190,10.2166/washdev.2020.286
80712,10.2166/washdev.2021.000
79208,10.2166/washdev.2020.256
79764,10.2166/washdev.2021.119
80098,10.2166/washdev.2021.203
79207,10.2166/washdev.2020.189
79881,10.2166/washdev.2021.208
79282,10.2166/washdev.2021.137
80195,10.2166/washdev.2021.182
80316,10.2166/washdev.2021.218
80315,10.2166/washdev.2021.204
80344,10.2166/washdev.2021.177
80254,10.2166/washdev.2021.170
80430,10.2166/washdev.2021.217
79268,10.2166/washdev.2021.174
81332,10.2166/washdev.2021.268
79206,10.2166/washdev.2020.107
80627,10.2166/washdev.2021.160
80556,10.2166/washdev.2021.243
80656,10.2166/washdev.2021.196
81401,10.2166/washdev.2021.254
81233,10.2166/washdev.2021.200
80750,10.2166/washdev.2021.222
81270,10.2166/washdev.2021.229
81373,10.2166/washdev.2021.239
80915,10.2166/washdev.2021.240
81271,10.2166/washdev.2021.255
80916,10.2166/washdev.2021.261
80628,10.2166/washdev.2021.262
80998,10.2166/washdev.2021.264
81442,10.2166/washdev.2021.011
81402,10.2166/washdev.2021.006
